id,name,country,rank,base_url,status,catalogue_url,detail
10238,King's College London (KCL),United Kingdom,31,,no-website,,no domain or web field in our dataset
10237,PSL University,France,28,,no-website,,no domain or web field in our dataset
10233,The University of New South Wales,Australia,20,,no-website,,no domain or web field in our dataset
10229,California Institute of Technology (Caltech),United States,10,,no-website,,no domain or web field in our dataset
10236,The University of Sydney,Australia,25,,no-website,,no domain or web field in our dataset
10234,École Polytechnique Fédérale de Lausanne,Switzerland,22,,no-website,,no domain or web field in our dataset
10225,Massachusetts Institute of Technology (MIT),United States,1,,no-website,,no domain or web field in our dataset
10227,National University of Singapore (NUS),Singapore,8,,no-website,,no domain or web field in our dataset
10232,The University of Melbourne,Australia,19,,no-website,,no domain or web field in our dataset
10230,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,12,,no-website,,no domain or web field in our dataset
10228,UCL (University College London),United Kingdom,9,,no-website,,no domain or web field in our dataset
10226,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,7,,no-website,,no domain or web field in our dataset
10231,"University of California, Berkeley (UCB)",United States,17,,no-website,,no domain or web field in our dataset
10235,Technical University of Munich,Germany,22,,no-website,,no domain or web field in our dataset
2239,University of Toronto,Canada,29,http://www.utoronto.ca,blocked-403,,homepage refuses automated access
545,Johns Hopkins University,United States,24,http://www.jhu.edu,blocked-403,,homepage refuses automated access
10239,The University of Manchester,United Kingdom,35,,no-website,,no domain or web field in our dataset
10240,The University of Tokyo,Japan,36,,no-website,,no domain or web field in our dataset
10189,The Chinese University of Hong Kong,Hong Kong,32,https://www.cuhk.edu.cn,unreachable,,homepage ERR:unreachable
8484,University of Oxford,United Kingdom,4,http://www.ox.ac.uk,blocked-403,,homepage refuses automated access
783,Princeton University,United States,25,http://www.princeton.edu,robots-disallowed,,robots.txt disallows every candidate path
354,Columbia University,United States,38,http://www.columbia.edu,blocked-403,,homepage refuses automated access
10241,Institut Polytechnique de Paris,France,41,,no-website,,no domain or web field in our dataset
1017,University of Chicago,United States,13,http://www.uchicago.edu,robots-disallowed,,robots.txt disallows every candidate path
10242,The University of Queensland,Australia,42,,no-website,,no domain or web field in our dataset
1532,Monash University,Australia,36,http://www.monash.edu,blocked-403,,homepage refuses automated access
10243,University of Michigan-Ann Arbor,United States,45,,no-website,,no domain or web field in our dataset
10244,"University of California, Los Angeles (UCLA)",United States,46,,no-website,,no domain or web field in our dataset
895,Stanford University,United States,3,http://www.stanford.edu,ok,https://www.stanford.edu/academics,
1105,University of Pennsylvania,United States,15,http://www.upenn.edu,ok,https://www.upenn.edu/academics,
8426,University of Edinburgh,United Kingdom,34,http://www.ed.ac.uk,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
495,Harvard University,United States,5,http://www.harvard.edu,ok,https://www.harvard.edu/programs/,
2203,University of British Columbia,Canada,40,http://www.ubc.ca,ok,https://www.ubc.ca:443/academics/,
3842,The Chinese University of Hong Kong,Hong Kong,32,https://www.cuhk.edu.hk,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10245,The University of Amsterdam,Netherlands,53,,no-website,,no domain or web field in our dataset
3850,The Hong Kong University of Science and Technology,Hong Kong,44,https://hkust.edu.hk,ok,https://hkust.edu.hk/academics,
10246,New York University (NYU),United States,55,,no-website,,no domain or web field in our dataset
10247,London School of Economics and Political Science (LSE),United Kingdom,56,,no-website,,no domain or web field in our dataset
1273,Yale University,United States,21,http://www.yale.edu,ok,https://www.yale.edu/academics,
10248,Universiti Malaya (UM),Malaysia,58,,no-website,,no domain or web field in our dataset
3846,The University of Hong Kong,Hong Kong,11,https://www.hku.hk,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
2160,McGill University,Canada,27,http://www.mcgill.ca,ok,https://www.mcgill.ca/academics/,
8404,University of Bristol,United Kingdom,51,https://www.bristol.ac.uk,ok,https://www.bristol.ac.uk/study/,
8446,Imperial College London,United Kingdom,2,http://www.imperial.ac.uk,ok,https://www.imperial.ac.uk/study/,
366,Cornell University,United States,16,http://www.cornell.edu,ok,https://www.cornell.edu/academics/,
8410,University of Cambridge,United Kingdom,6,http://www.cam.ac.uk,ok,https://www.undergraduate.study.cam.ac.uk/courses,
10249,National Taiwan University (NTU),Taiwan,63,,no-website,,no domain or web field in our dataset
10250,The University of Auckland,New Zealand,65,,no-website,,no domain or web field in our dataset
10251,"University of California, San Diego (UCSD)",United States,66,,no-website,,no domain or web field in our dataset
10252,King Fahd University of Petroleum & Minerals,Saudi Arabia,67,,no-website,,no domain or web field in our dataset
10253,University of Texas at Austin,United States,68,,no-website,,no domain or web field in our dataset
2408,Fudan University,China,30,http://www.fudan.edu.cn,ok,https://www.fudan.edu.cn/academics/programs/main.psp,
10254,University of Illinois at Urbana-Champaign,United States,70,,no-website,,no domain or web field in our dataset
10209,KU Leuven,Belgium,60,https://www.kuleuven.be,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10255,Sorbonne University (merged from Paris IV & UPMC),France,72,,no-website,,no domain or web field in our dataset
5726,Seoul National University,South Korea,38,http://www.snu.ac.kr,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10256,The University of Warwick,United Kingdom,74,,no-website,,no domain or web field in our dataset
10257,"Trinity College Dublin, The University of Dublin",Ireland,75,,no-website,,no domain or web field in our dataset
3841,City University of Hong Kong,Hong Kong,63,https://www.cityu.edu.hk,ok,https://www.cityu.edu.hk/academics/programs,
10258,The University of Western Australia,Australia,77,,no-website,,no domain or web field in our dataset
2696,Zhejiang University,China,49,http://www.zju.edu.cn,ok,https://www.zju.edu.cn/academics/programs/main.psp,
251,Brown University,United States,69,http://www.brown.edu,robots-disallowed,,robots.txt disallows every candidate path
3714,Ludwig-Maximilians-Universität München,Germany,58,http://www.lmu.de,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
725,Northwestern University,United States,42,http://www.northwestern.edu,ok,https://www.northwestern.edu/academics/,
8432,University of Glasgow,United Kingdom,79,http://www.gla.ac.uk,ok,https://www.gla.ac.uk/research/az/,
10259,Adelaide University,Australia,82,,no-website,,no domain or web field in our dataset
288,Carnegie Mellon University,United States,52,http://www.cmu.edu,ok,https://www.cmu.edu/academics,
10001,Université Paris-Saclay,France,70,https://www.universite-paris-saclay.fr,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5767,Yonsei University,South Korea,50,http://www.yonsei.ac.kr,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
2626,Tsinghua University,China,17,http://www.tsinghua.edu.cn,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5107,Kyoto University,Japan,57,http://www.kyoto-u.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5332,Tokyo Institute of Technology,Japan,85,http://www.titech.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10170,Shanghai Jiao Tong University,China,47,https://en.sjtu.edu.cn,ok,https://global.sjtu.edu.cn/en/,
10260,The University of Osaka,Japan,91,,no-website,,no domain or web field in our dataset
761,Pennsylvania State University,United States,82,http://www.psu.edu,ok,https://www.psu.edu/academics,
7860,Lund University,Sweden,72,http://www.lu.se,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
6336,Delft University of Technology,Netherlands,47,http://www.tudelft.nl,ok,https://www.tudelft.nl/onderwijs,
10261,Durham University,United Kingdom,94,,no-website,,no domain or web field in our dataset
3849,The Hong Kong Polytechnic University,Hong Kong,54,https://www.polyu.edu.hk,ok,https://www.polyu.edu.hk/study/ug,
10262,The University of Nottingham,United Kingdom,97,,no-website,,no domain or web field in our dataset
10263,Karlsruhe Institute of Technology (KIT),Germany,98,,no-website,,no domain or web field in our dataset
10264,Politecnico di Milano,Italy,98,,no-website,,no domain or web field in our dataset
10265,University of Zurich (UZH),Switzerland,100,,no-website,,no domain or web field in our dataset
7857,KTH Royal Institute of Technology,Sweden,78,http://www.kth.se,ok,https://www.kth.se/en/studies,
10266,Pohang University of Science And Technology (POSTECH),South Korea,102,,no-website,,no domain or web field in our dataset
