id,name,country,rank,catalogue_url
10225,Massachusetts Institute of Technology (MIT),United States,1,https://web.mit.edu/courses/
8446,Imperial College London,United Kingdom,2,https://www.imperial.ac.uk/study/
895,Stanford University,United States,3,https://www.stanford.edu/academics
495,Harvard University,United States,5,https://www.harvard.edu/programs/
8410,University of Cambridge,United Kingdom,6,https://www.undergraduate.study.cam.ac.uk/courses
10227,National University of Singapore (NUS),Singapore,8,https://www.nus.edu.sg/
1105,University of Pennsylvania,United States,15,https://www.upenn.edu/academics
366,Cornell University,United States,16,https://www.cornell.edu/academics/
10233,The University of New South Wales,Australia,20,https://www.unsw.edu.au/study
1273,Yale University,United States,21,https://www.yale.edu/academics
10236,The University of Sydney,Australia,25,https://www.sydney.edu.au/academics/programs
2160,McGill University,Canada,27,https://www.mcgill.ca/academics/
2408,Fudan University,China,30,https://www.fudan.edu.cn/academics/programs/main.psp
1512,Australian National University,Australia,32,https://study.anu.edu.au/study-options
10239,The University of Manchester,United Kingdom,35,https://www.manchester.ac.uk/study/
2203,University of British Columbia,Canada,40,https://www.ubc.ca:443/academics/
725,Northwestern University,United States,42,https://www.northwestern.edu/academics/
3850,The Hong Kong University of Science and Technology,Hong Kong,44,https://hkust.edu.hk/academics
10244,"University of California, Los Angeles (UCLA)",United States,46,https://www.ucla.edu/academics
10170,Shanghai Jiao Tong University,China,47,https://global.sjtu.edu.cn/en/
6336,Delft University of Technology,Netherlands,47,https://www.tudelft.nl/onderwijs
2696,Zhejiang University,China,49,https://www.zju.edu.cn/academics/programs/main.psp
8404,University of Bristol,United Kingdom,51,https://www.bristol.ac.uk/study/
288,Carnegie Mellon University,United States,52,https://www.cmu.edu/academics
3849,The Hong Kong Polytechnic University,Hong Kong,54,https://www.polyu.edu.hk/study/ug
10248,Universiti Malaya (UM),Malaysia,58,https://www.um.edu.my/
8787,Duke University,United States,62,https://www.duke.edu/academics/
3841,City University of Hong Kong,Hong Kong,63,https://www.cityu.edu.hk/academics/programs
10250,The University of Auckland,New Zealand,65,https://uoa.custhelp.com/app/answers/detail/a_id/17293
10251,"University of California, San Diego (UCSD)",United States,66,https://www.ucsd.edu/academics/
10253,University of Texas at Austin,United States,68,https://www.utexas.edu/academics/academic-experience
10254,University of Illinois at Urbana-Champaign,United States,70,https://illinois.edu/academics/
10256,The University of Warwick,United Kingdom,74,https://warwick.ac.uk/study/
8399,University of Birmingham,United Kingdom,76,https://www.birmingham.ac.uk/study
7857,KTH Royal Institute of Technology,Sweden,78,https://www.kth.se/en/studies
8432,University of Glasgow,United Kingdom,79,https://www.gla.ac.uk/research/az/
3697,Ruprecht-Karls-Universität Heidelberg,Germany,80,https://www.uni-heidelberg.de/en/study
1160,University of Washington,United States,81,https://www.washington.edu/about/
761,Pennsylvania State University,United States,82,https://www.psu.edu/academics
10259,Adelaide University,Australia,82,https://adelaide.edu.au/study/
1391,Universidad de Buenos Aires,Argentina,84,https://www.uba.ar/programs
5332,Tokyo Institute of Technology,Japan,85,https://www.titech.ac.jp/
8510,University of Southampton,United Kingdom,87,https://www.southampton.ac.uk/courses
238,Boston University,United States,88,https://www.bu.edu/academics/cas/programs/
787,Purdue University,United States,88,https://www.purdue.edu/home/academics/
8504,The University of Sheffield,United Kingdom,92,https://sheffield.ac.uk/courses
7872,Uppsala University,Sweden,93,https://www.uu.se/en/study
10262,The University of Nottingham,United Kingdom,97,https://www.nottingham.ac.uk/studywithus/study-with-us.aspx
2946,University of Copenhagen,Denmark,101,https://www.ku.dk/academics/programs
10267,Rheinisch-Westfälische Technische Hochschule Aachen,Germany,105,https://www.rwth-aachen.de/cms/root/~eeu/Studium/?lidx=1
7319,Lomonosov Moscow State University,Russia,105,https://msu.ru/academics/programs/
10270,University of Wisconsin-Madison,United States,110,https://www.wisc.edu/academics/
10272,University of St Andrews,United Kingdom,113,https://www.st-andrews.ac.uk/subjects/
1002,"University of California, Davis",United States,114,https://www.ucdavis.edu/academics
10273,Pontificia Universidad Católica de Chile,Chile,116,https://www.uc.cl/en/academics/
802,Rice University,United States,119,https://www.rice.edu/academics
465,Georgia Institute of Technology,United States,123,https://www.gatech.edu/academics
10279,Indian Institute of Technology Bombay (IITB),India,129,http://www.iitb.ac.in/academics/programs
8393,University of Bath,United Kingdom,132,https://www.bath.ac.uk/courses
9933,University of Bath,United Kingdom,132,https://www.bath.ac.uk/courses
10281,Universiti Putra Malaysia (UPM),Malaysia,134,https://upm.edu.my/academics/programs
8477,Newcastle University,United Kingdom,137,https://www.ncl.ac.uk/study/
10285,"University of North Carolina, Chapel Hill",United States,140,https://www.unc.edu/academics/programs-curricula/
3664,Technische Universität Berlin,Germany,145,https://www.tu.berlin/en/page-not-found
1129,University of Southern California,United States,146,https://www.usc.edu/academic-calendar/
7870,Stockholm University,Sweden,147,https://www.su.se/study
8464,University of Liverpool,United Kingdom,147,https://www.liverpool.ac.uk/courses/undergraduate
10288,Universiti Teknologi Malaysia (UTM),Malaysia,153,https://www.utm.my/study-on-enhancement-of-signal-parameters-estimation-for-rf-power-sensors-in-the-presence-of-1f-noise/
8429,University of Exeter,United Kingdom,155,https://www.exeter.ac.uk/study/
7910,University of Basel,Switzerland,158,https://www.unibas.ch/en/Studies/Before-My-Studies/Degree-Programs.html
642,Michigan State University,United States,161,https://www.msu.edu/academics/programs
5154,Nagoya University,Japan,164,https://www.nagoya-u.ac.jp/academics/
2161,McMaster University,Canada,173,https://www.mcmaster.ca/
10296,"University of California, Santa Barbara (UCSB)",United States,179,https://www.ucsb.edu/academics
10297,Indian Institute of Technology Madras (IITM),India,180,https://www.iitm.ac.in/
422,Emory University,United States,182,https://www.emory.edu/academics
1520,Curtin University,Australia,183,https://www.curtin.edu.au/study/
